ref_date,geo,noc_code,noc_desc,job_char,total_vacancies,sentiment_score,predicted_total_vacancies
2019-01-01,Alberta,0,Legislative and senior management occupations,Full-time,150.0,1.826354,
2019-01-01,Alberta,0,Legislative and senior management occupations,"Type of work, all types",150.0,1.826354,
2019-01-01,Alberta,1,"Business, finance and administration occupations",Full-time,5900.0,1.826354,
2019-01-01,Alberta,1,"Business, finance and administration occupations",Part-time,880.0,1.826354,
2019-01-01,Alberta,1,"Business, finance and administration occupations","Type of work, all types",6780.0,1.826354,
2019-01-01,Alberta,2,Natural and applied sciences and related occupations,Full-time,4705.0,1.826354,
2019-01-01,Alberta,2,Natural and applied sciences and related occupations,"Type of work, all types",4805.0,1.826354,
2019-01-01,Alberta,3,Health occupations,Full-time,1095.0,1.826354,
2019-01-01,Alberta,3,Health occupations,Part-time,905.0,1.826354,
2019-01-01,Alberta,3,Health occupations,"Type of work, all types",2000.0,1.826354,
2019-01-01,Alberta,4,"Occupations in education, law and social, community and government services",Full-time,2190.0,1.826354,
2019-01-01,Alberta,4,"Occupations in education, law and social, community and government services",Part-time,1235.0,1.826354,
2019-01-01,Alberta,4,"Occupations in education, law and social, community and government services","Type of work, all types",3420.0,1.826354,
2019-01-01,Alberta,5,"Occupations in art, culture, recreation and sport",Full-time,620.0,1.826354,
2019-01-01,Alberta,5,"Occupations in art, culture, recreation and sport",Part-time,495.0,1.826354,
2019-01-01,Alberta,5,"Occupations in art, culture, recreation and sport","Type of work, all types",1120.0,1.826354,
2019-01-01,Alberta,6,Sales and service occupations,Full-time,10175.0,1.826354,
2019-01-01,Alberta,6,Sales and service occupations,Part-time,6295.0,1.826354,
2019-01-01,Alberta,6,Sales and service occupations,"Type of work, all types",16470.0,1.826354,
2019-01-01,Alberta,7,"Trades, transport and equipment operators and related occupations",Full-time,10320.0,1.826354,
2019-01-01,Alberta,7,"Trades, transport and equipment operators and related occupations",Part-time,750.0,1.826354,
2019-01-01,Alberta,7,"Trades, transport and equipment operators and related occupations","Type of work, all types",11070.0,1.826354,
2019-01-01,Alberta,8,"Natural resources, agriculture and related production occupations",Full-time,2200.0,1.826354,
2019-01-01,Alberta,8,"Natural resources, agriculture and related production occupations","Type of work, all types",2520.0,1.826354,
2019-01-01,Alberta,9,Occupations in manufacturing and utilities,Full-time,1410.0,1.826354,
2019-01-01,Alberta,9,Occupations in manufacturing and utilities,Part-time,15.0,1.826354,
2019-01-01,Alberta,9,Occupations in manufacturing and utilities,"Type of work, all types",1430.0,1.826354,
2019-01-01,Alberta,101,"Total, all occupations",Full-time,38835.0,1.826354,
