idML,ref_date,geo,noc_code,noc_desc,job_char,total_vacancies,predicted_vacancies
547960,2015-01-01,Quebec,101,"Total, all occupations","Type of work, all types",60480.0,
547963,2015-01-01,Quebec,101,"Total, all occupations",Full-time,45455.0,
876736,2015-01-01,Saskatchewan,101,"Total, all occupations","Type of work, all types",14330.0,
876739,2015-01-01,Saskatchewan,101,"Total, all occupations",Full-time,10420.0,
1534288,2015-04-01,Canada,101,"Total, all occupations","Type of work, all types",452315.0,
1534291,2015-04-01,Canada,101,"Total, all occupations",Full-time,322625.0,
1534294,2015-04-01,Canada,101,"Total, all occupations",Part-time,129690.0,
1534421,2015-04-01,Canada,0,Legislative and senior management occupations,"Type of work, all types",855.0,
1534424,2015-04-01,Canada,0,Legislative and senior management occupations,Full-time,830.0,
1535751,2015-04-01,Canada,1,"Business, finance and administration occupations","Type of work, all types",50885.0,
1535754,2015-04-01,Canada,1,"Business, finance and administration occupations",Full-time,40915.0,
1535757,2015-04-01,Canada,1,"Business, finance and administration occupations",Part-time,9970.0,
1548386,2015-04-01,Canada,2,Natural and applied sciences and related occupations,"Type of work, all types",31840.0,
1548389,2015-04-01,Canada,2,Natural and applied sciences and related occupations,Full-time,30500.0,
1548392,2015-04-01,Canada,2,Natural and applied sciences and related occupations,Part-time,1340.0,
1561287,2015-04-01,Canada,3,Health occupations,"Type of work, all types",24400.0,
1561290,2015-04-01,Canada,3,Health occupations,Full-time,10690.0,
1561293,2015-04-01,Canada,3,Health occupations,Part-time,13710.0,
1570065,2015-04-01,Canada,4,"Occupations in education, law and social, community and government services","Type of work, all types",21430.0,
1570068,2015-04-01,Canada,4,"Occupations in education, law and social, community and government services",Full-time,13030.0,
1570071,2015-04-01,Canada,4,"Occupations in education, law and social, community and government services",Part-time,8400.0,
1582035,2015-04-01,Canada,5,"Occupations in art, culture, recreation and sport","Type of work, all types",13690.0,
1582038,2015-04-01,Canada,5,"Occupations in art, culture, recreation and sport",Full-time,10600.0,
1582041,2015-04-01,Canada,5,"Occupations in art, culture, recreation and sport",Part-time,3090.0,
1590547,2015-04-01,Canada,6,Sales and service occupations,"Type of work, all types",169930.0,
1590550,2015-04-01,Canada,6,Sales and service occupations,Full-time,94835.0,
1590553,2015-04-01,Canada,6,Sales and service occupations,Part-time,75090.0,
1604512,2015-04-01,Canada,7,"Trades, transport and equipment operators and related occupations","Type of work, all types",72315.0,
1604515,2015-04-01,Canada,7,"Trades, transport and equipment operators and related occupations",Full-time,65710.0,
1604518,2015-04-01,Canada,7,"Trades, transport and equipment operators and related occupations",Part-time,6605.0,
1623664,2015-04-01,Canada,8,"Natural resources, agriculture and related production occupations","Type of work, all types",25775.0,
1623667,2015-04-01,Canada,8,"Natural resources, agriculture and related production occupations",Full-time,21800.0,
1630846,2015-04-01,Canada,9,Occupations in manufacturing and utilities,"Type of work, all types",21750.0,
1630849,2015-04-01,Canada,9,Occupations in manufacturing and utilities,Full-time,19505.0,
1630852,2015-04-01,Canada,9,Occupations in manufacturing and utilities,Part-time,2245.0,
1643880,2015-04-01,Newfoundland and Labrador,101,"Total, all occupations","Type of work, all types",5265.0,
1643883,2015-04-01,Newfoundland and Labrador,101,"Total, all occupations",Full-time,3725.0,
1643886,2015-04-01,Newfoundland and Labrador,101,"Total, all occupations",Part-time,1540.0,
1645343,2015-04-01,Newfoundland and Labrador,1,"Business, finance and administration occupations","Type of work, all types",535.0,
1645346,2015-04-01,Newfoundland and Labrador,1,"Business, finance and administration occupations",Full-time,450.0,
1657978,2015-04-01,Newfoundland and Labrador,2,Natural and applied sciences and related occupations,"Type of work, all types",175.0,
1657981,2015-04-01,Newfoundland and Labrador,2,Natural and applied sciences and related occupations,Full-time,170.0,
1670879,2015-04-01,Newfoundland and Labrador,3,Health occupations,"Type of work, all types",570.0,
1670882,2015-04-01,Newfoundland and Labrador,3,Health occupations,Full-time,290.0,
1670885,2015-04-01,Newfoundland and Labrador,3,Health occupations,Part-time,280.0,
1679657,2015-04-01,Newfoundland and Labrador,4,"Occupations in education, law and social, community and government services","Type of work, all types",225.0,
1679660,2015-04-01,Newfoundland and Labrador,4,"Occupations in education, law and social, community and government services",Full-time,130.0,
1700139,2015-04-01,Newfoundland and Labrador,6,Sales and service occupations,"Type of work, all types",1955.0,
1700142,2015-04-01,Newfoundland and Labrador,6,Sales and service occupations,Full-time,1035.0,
1700145,2015-04-01,Newfoundland and Labrador,6,Sales and service occupations,Part-time,920.0,
1714104,2015-04-01,Newfoundland and Labrador,7,"Trades, transport and equipment operators and related occupations","Type of work, all types",920.0,
1714107,2015-04-01,Newfoundland and Labrador,7,"Trades, transport and equipment operators and related occupations",Full-time,850.0,
1733256,2015-04-01,Newfoundland and Labrador,8,"Natural resources, agriculture and related production occupations","Type of work, all types",170.0,
1740438,2015-04-01,Newfoundland and Labrador,9,Occupations in manufacturing and utilities,"Type of work, all types",355.0,
1740441,2015-04-01,Newfoundland and Labrador,9,Occupations in manufacturing and utilities,Full-time,320.0,
1753472,2015-04-01,Prince Edward Island,101,"Total, all occupations","Type of work, all types",1785.0,
1753475,2015-04-01,Prince Edward Island,101,"Total, all occupations",Full-time,1185.0,
1753478,2015-04-01,Prince Edward Island,101,"Total, all occupations",Part-time,600.0,
1754935,2015-04-01,Prince Edward Island,1,"Business, finance and administration occupations","Type of work, all types",80.0,
1767570,2015-04-01,Prince Edward Island,2,Natural and applied sciences and related occupations,"Type of work, all types",85.0,
1767573,2015-04-01,Prince Edward Island,2,Natural and applied sciences and related occupations,Full-time,70.0,
1780471,2015-04-01,Prince Edward Island,3,Health occupations,"Type of work, all types",65.0,
1809731,2015-04-01,Prince Edward Island,6,Sales and service occupations,"Type of work, all types",885.0,
1809734,2015-04-01,Prince Edward Island,6,Sales and service occupations,Full-time,445.0,
1809737,2015-04-01,Prince Edward Island,6,Sales and service occupations,Part-time,440.0,
1850030,2015-04-01,Prince Edward Island,9,Occupations in manufacturing and utilities,"Type of work, all types",105.0,
1850033,2015-04-01,Prince Edward Island,9,Occupations in manufacturing and utilities,Full-time,100.0,
1863064,2015-04-01,Nova Scotia,101,"Total, all occupations","Type of work, all types",11800.0,
1863067,2015-04-01,Nova Scotia,101,"Total, all occupations",Full-time,7855.0,
1863070,2015-04-01,Nova Scotia,101,"Total, all occupations",Part-time,3945.0,
1863197,2015-04-01,Nova Scotia,0,Legislative and senior management occupations,"Type of work, all types",15.0,
1863200,2015-04-01,Nova Scotia,0,Legislative and senior management occupations,Full-time,10.0,
1864527,2015-04-01,Nova Scotia,1,"Business, finance and administration occupations","Type of work, all types",1075.0,
1864530,2015-04-01,Nova Scotia,1,"Business, finance and administration occupations",Full-time,890.0,
1864533,2015-04-01,Nova Scotia,1,"Business, finance and administration occupations",Part-time,185.0,
1890063,2015-04-01,Nova Scotia,3,Health occupations,"Type of work, all types",955.0,
1890066,2015-04-01,Nova Scotia,3,Health occupations,Full-time,435.0,
1890069,2015-04-01,Nova Scotia,3,Health occupations,Part-time,525.0,
1898847,2015-04-01,Nova Scotia,4,"Occupations in education, law and social, community and government services",Part-time,140.0,
1910811,2015-04-01,Nova Scotia,5,"Occupations in art, culture, recreation and sport","Type of work, all types",380.0,
1910814,2015-04-01,Nova Scotia,5,"Occupations in art, culture, recreation and sport",Full-time,265.0,
1919323,2015-04-01,Nova Scotia,6,Sales and service occupations,"Type of work, all types",4325.0,
1919326,2015-04-01,Nova Scotia,6,Sales and service occupations,Full-time,2310.0,
1919329,2015-04-01,Nova Scotia,6,Sales and service occupations,Part-time,2015.0,
1933288,2015-04-01,Nova Scotia,7,"Trades, transport and equipment operators and related occupations","Type of work, all types",2205.0,
1933291,2015-04-01,Nova Scotia,7,"Trades, transport and equipment operators and related occupations",Full-time,1710.0,
1952440,2015-04-01,Nova Scotia,8,"Natural resources, agriculture and related production occupations","Type of work, all types",660.0,
1952443,2015-04-01,Nova Scotia,8,"Natural resources, agriculture and related production occupations",Full-time,450.0,
1959622,2015-04-01,Nova Scotia,9,Occupations in manufacturing and utilities,"Type of work, all types",575.0,
1959625,2015-04-01,Nova Scotia,9,Occupations in manufacturing and utilities,Full-time,480.0,
1972656,2015-04-01,New Brunswick,101,"Total, all occupations","Type of work, all types",10125.0,
1972659,2015-04-01,New Brunswick,101,"Total, all occupations",Full-time,7480.0,
1972662,2015-04-01,New Brunswick,101,"Total, all occupations",Part-time,2640.0,
1974119,2015-04-01,New Brunswick,1,"Business, finance and administration occupations","Type of work, all types",670.0,
1974122,2015-04-01,New Brunswick,1,"Business, finance and administration occupations",Full-time,610.0,
1999655,2015-04-01,New Brunswick,3,Health occupations,"Type of work, all types",640.0,
1999658,2015-04-01,New Brunswick,3,Health occupations,Full-time,230.0,
1999661,2015-04-01,New Brunswick,3,Health occupations,Part-time,410.0,
2008433,2015-04-01,New Brunswick,4,"Occupations in education, law and social, community and government services","Type of work, all types",385.0,
2008436,2015-04-01,New Brunswick,4,"Occupations in education, law and social, community and government services",Full-time,280.0,
2020403,2015-04-01,New Brunswick,5,"Occupations in art, culture, recreation and sport","Type of work, all types",255.0,
2020406,2015-04-01,New Brunswick,5,"Occupations in art, culture, recreation and sport",Full-time,205.0,
2028915,2015-04-01,New Brunswick,6,Sales and service occupations,"Type of work, all types",3050.0,
2028918,2015-04-01,New Brunswick,6,Sales and service occupations,Full-time,1480.0,
2028921,2015-04-01,New Brunswick,6,Sales and service occupations,Part-time,1570.0,
2042880,2015-04-01,New Brunswick,7,"Trades, transport and equipment operators and related occupations","Type of work, all types",1245.0,
2042883,2015-04-01,New Brunswick,7,"Trades, transport and equipment operators and related occupations",Full-time,1100.0,
2069214,2015-04-01,New Brunswick,9,Occupations in manufacturing and utilities,"Type of work, all types",1315.0,
2069217,2015-04-01,New Brunswick,9,Occupations in manufacturing and utilities,Full-time,1260.0,
2082248,2015-04-01,Quebec,101,"Total, all occupations","Type of work, all types",70450.0,
2082251,2015-04-01,Quebec,101,"Total, all occupations",Full-time,51705.0,
2082254,2015-04-01,Quebec,101,"Total, all occupations",Part-time,18750.0,
2083711,2015-04-01,Quebec,1,"Business, finance and administration occupations","Type of work, all types",9000.0,
2083714,2015-04-01,Quebec,1,"Business, finance and administration occupations",Full-time,7315.0,
2083717,2015-04-01,Quebec,1,"Business, finance and administration occupations",Part-time,1685.0,
2096346,2015-04-01,Quebec,2,Natural and applied sciences and related occupations,"Type of work, all types",6370.0,
2096349,2015-04-01,Quebec,2,Natural and applied sciences and related occupations,Full-time,5965.0,
2109247,2015-04-01,Quebec,3,Health occupations,"Type of work, all types",4855.0,
2109250,2015-04-01,Quebec,3,Health occupations,Full-time,2200.0,
2109253,2015-04-01,Quebec,3,Health occupations,Part-time,2650.0,
2118025,2015-04-01,Quebec,4,"Occupations in education, law and social, community and government services","Type of work, all types",2985.0,
2118028,2015-04-01,Quebec,4,"Occupations in education, law and social, community and government services",Full-time,1930.0,
2118031,2015-04-01,Quebec,4,"Occupations in education, law and social, community and government services",Part-time,1055.0,
2129995,2015-04-01,Quebec,5,"Occupations in art, culture, recreation and sport","Type of work, all types",3595.0,
